time,PLAT,PALL,NATGAS,HEATOIL,GASOIL,SPX_fastb,SPX_slowb,BTC_fastb,BTC_slowb,GOLD_fastb,GOLD_slowb,XSMOM,DIPBUY,TOM
1987-07-07,,,,,,0.004041685972072932,0.006020622154579316,,,,,0.0014992208522924672,0.0,0.0018137483194758475
1987-07-08,,,,,,0.00176852652709367,0.002485903529239559,,,,,0.000537533722235985,0.0,0.0
1987-07-09,,,,,,-0.002301540115868819,-0.0025997380402366832,,,,,-0.0004658135621085501,0.0,0.0
1987-07-10,,,,,,0.0025143575919173455,0.0028598748146292322,,,,,0.0005193364441875098,0.0,0.0
1987-07-13,,,,,,-0.0027552697498554,-0.0028170996409583155,,,,,-0.00045430968249051323,0.0,0.0
1987-07-14,,,,,,0.011288995965450119,0.011583821050048387,,,,,0.0018913854344000279,0.0,0.0
1987-07-15,,,,,,-0.0010723079635237462,-0.0010561763168690384,,,,,-0.00016080391268402487,0.0,0.0
1987-07-16,,,,,,0.009372041399845576,0.009370636846001233,,,,,0.0014128355824565121,0.0,0.0
1987-07-17,,,,,,0.0077496391232770925,0.0077496391232770925,,,,,0.001171781800100156,0.0,0.0
1987-07-20,,,,,,-0.01312517623410508,-0.01312517623410508,,,,,-0.0019818492431020788,0.0,0.0
1987-07-21,,,,,,-0.01148714112663588,-0.011389453258173261,,,,,-0.0017880157598549422,0.0,0.0
1987-07-22,,,,,,-0.00023951009952032516,-0.0002689572977453696,,,,,-5.062500848900832e-05,0.0,0.0
1987-07-23,,,,,,-0.0010864946516704822,-0.0017095035564130058,,,,,-0.00041689949694474553,0.0,0.0
1987-07-24,,,,,,0.0016222750652230152,0.003446261454146719,,,,,0.0009311989674117928,0.0,0.0
1987-07-27,,,,,,0.0015405037402757887,0.0032482696307506373,,,,,0.0008824088230658491,0.0,0.0
1987-07-28,,,,,,0.0018670500141720282,0.003936817354978844,,,,,0.001076886813015442,0.0,-2.4565752561694185e-05
1987-07-29,,,,,,0.005907496738646753,0.008902637863841326,,,,,0.002131981700639241,0.0,0.0026111336537586283
